question_number,pilot_id,possible_unexpanded_acronyms,possible_unexpanded_acronym_count
1,PARAMEDIC-NEXT50-001,EMS2026-2-1-2; ID; JOB-2-1-2-1-3,3
2,PARAMEDIC-NEXT50-002,EMS2026-2-1-2; ID; JOB-2-1-2-2-6,3
3,PARAMEDIC-NEXT50-003,EMS2026-2-1-2; ID; JOB-2-1-2-6,3
4,PARAMEDIC-NEXT50-004,EMS2026-2-1-3; ID; JOB-2-1-3-1,3
5,PARAMEDIC-NEXT50-005,EMS2026-2-1-3; ID; JOB-2-1-3-2,3
6,PARAMEDIC-NEXT50-006,EMS2026-2-1-3; ID; JOB-2-1-3-3-3,3
7,PARAMEDIC-NEXT50-007,EMS2026-2-1-4; ID; JOB-2-1-4-03,3
8,PARAMEDIC-NEXT50-008,EMS2026-2-2-1; ID; JOB-2-2-1-2,3
9,PARAMEDIC-NEXT50-009,EMS2026-2-2-1; ID; JOB-2-2-1-5,3
10,PARAMEDIC-NEXT50-010,EMS2026-2-2-6; ID; JOB-2-2-6-02; SDS,4
11,PARAMEDIC-NEXT50-011,EMS2026-2-2-8; ID; JOB-2-2-8-2,3
12,PARAMEDIC-NEXT50-012,EMS2026-2-3-1; ID; JOB-2-3-1-2,3
13,PARAMEDIC-NEXT50-013,EMS2026-2-3-1; ID; JOB-2-3-1-3,3
14,PARAMEDIC-NEXT50-014,CPAP; EMS2026-2-3-1; ID; JOB-2-3-1-4,4
15,PARAMEDIC-NEXT50-015,EMS2026-2-3-1; ID; JOB-2-3-1-6-2,3
16,PARAMEDIC-NEXT50-016,EMS2026-2-3-2; ID; JOB-2-3-2-6-2,3
17,PARAMEDIC-NEXT50-017,EMS2026-2-3-5; ID; JOB-2-3-5-4,3
18,PARAMEDIC-NEXT50-018,EMS2026-2-3-5; ID; JOB-2-3-5-5,3
19,PARAMEDIC-NEXT50-019,EMS2026-2-3-6; ID; JOB-2-3-6-1-2,3
20,PARAMEDIC-NEXT50-020,ALS; EMS2026-2-3-6; ID; JOB-2-3-6-2; QRS,5
21,PARAMEDIC-NEXT50-021,EMS2026-2-3-7; ID; JOB-2-3-7-1-2,3
22,PARAMEDIC-NEXT50-022,EMS2026-2-3-7; ID; JOB-2-3-7-1-4,3
23,PARAMEDIC-NEXT50-023,EMS2026-2-3-7; ID; JOB-2-3-7-3-2,3
24,PARAMEDIC-NEXT50-024,EMS2026-2-3-7; ID; JOB-2-3-7-3-6,3
25,PARAMEDIC-NEXT50-025,BLS; EMS2026-2-3-8; ID; JOB-2-3-8-3; NAEMSP; OUD; RR,7
26,PARAMEDIC-NEXT50-026,EMS2026-2-3-8; ID; JOB-2-3-8-2-5,3
27,PARAMEDIC-NEXT50-027,EMS2026-2-3-8; ID; JOB-2-3-8-5-1; QRS,4
28,PARAMEDIC-NEXT50-028,EMS2026-2-3; ID; JOB-2-3-10-1,3
29,PARAMEDIC-NEXT50-029,EMS2026-2-3; ID; JOB-2-3-10-2,3
30,PARAMEDIC-NEXT50-030,EMS2026-2-3; ID; JOB-2-3-11-1,3
31,PARAMEDIC-NEXT50-031,EMS2026-2-3; ID; JOB-2-3-11-5,3
32,PARAMEDIC-NEXT50-032,EMS2026-2-3; ID; JOB-2-3-12-1,3
33,PARAMEDIC-NEXT50-033,EMS2026-2-3; ID; JOB-2-3-12-1,3
34,PARAMEDIC-NEXT50-034,EMS2026-2-3; ID; JOB-2-3-12-2,3
35,PARAMEDIC-NEXT50-035,EMS2026-2-3; ID; JOB-2-3-12-3,3
36,PARAMEDIC-NEXT50-036,EMS2026-2-3; ID; JOB-2-3-13-1,3
37,PARAMEDIC-NEXT50-037,EMS2026-2-3; ID; JOB-2-3-13-1,3
38,PARAMEDIC-NEXT50-038,EMS2026-2-3; ID; JOB-2-3-13-2,3
39,PARAMEDIC-NEXT50-039,EMS2026-2-3; ID; JOB-2-3-13-4,3
40,PARAMEDIC-NEXT50-040,EMS2026-2-4-5; ID; JOB-2-4-5-1,3
41,PARAMEDIC-NEXT50-041,EMS2026-2-4-5; ID; JOB-2-4-5-4,3
42,PARAMEDIC-NEXT50-042,EMS2026-2-4-5; EMT; ID; JOB-2-4-5-7,4
43,PARAMEDIC-NEXT50-043,EMS2026-2-4-6; ID; JOB-2-4-6-1,3
44,PARAMEDIC-NEXT50-044,EMS2026-2-4-6; ID; JOB-2-4-6-3,3
45,PARAMEDIC-NEXT50-045,EMS2026-2-4-7; ID; JOB-2-4-7-2,3
46,PARAMEDIC-NEXT50-046,DNR; EMS2026-2-4-8; ID; JOB-2-4-8-1; POLST,5
47,PARAMEDIC-NEXT50-047,EMS2026-2-4-9; ID; JOB-2-4-9-2,3
48,PARAMEDIC-NEXT50-048,EMS2026-2-4-9; ID; JOB-2-4-9-3,3
49,PARAMEDIC-NEXT50-049,EMS2026-2-3-9; ID; JOB-2-3-9-5,3
50,PARAMEDIC-NEXT50-050,EMS2026-2-3; ID; JOB-2-3-11-3,3
